,Date,Province/State,indicator,value,Days
0,2020-01-22,Australian Capital Territory,Total cases,0.0,0
1,2020-01-22,Australian Capital Territory,Total cases per million,0.0,0
2,2020-01-22,Australian Capital Territory,New cases,0.0,0
3,2020-01-22,Australian Capital Territory,css_per_prsn,0.0,0
4,2020-01-22,Australian Capital Territory,New cases per week,0.0,0
5,2020-01-22,Australian Capital Territory,log10(Total cases),0.0,0
6,2020-01-22,Australian Capital Territory,log10(New cases per week),0.0,0
7,2020-01-22,Australian Capital Territory,Slope of power-law,0.0,0
8,2020-01-22,Australian Capital Territory,Acceleration of power-law,0.0,0
9,2020-01-22,Australian Capital Territory,Growth Rate,0.0,0
10,2020-01-22,Australian Capital Territory,Days since first case,0.0,0
11,2020-01-22,Australian Capital Territory,Average Growth Rate,0.0,0
12,2020-01-22,Australian Capital Territory,Doubling time,0.0,0
13,2020-01-22,New South Wales,Total cases,0.0,0
14,2020-01-22,New South Wales,Total cases per million,0.0,0
15,2020-01-22,New South Wales,New cases,0.0,0
16,2020-01-22,New South Wales,css_per_prsn,0.0,0
17,2020-01-22,New South Wales,New cases per week,0.0,0
18,2020-01-22,New South Wales,log10(Total cases),0.0,0
19,2020-01-22,New South Wales,log10(New cases per week),0.0,0
20,2020-01-22,New South Wales,Slope of power-law,0.0,0
21,2020-01-22,New South Wales,Acceleration of power-law,0.0,0
22,2020-01-22,New South Wales,Growth Rate,0.0,0
23,2020-01-22,New South Wales,Days since first case,0.0,0
24,2020-01-22,New South Wales,Average Growth Rate,0.0,0
25,2020-01-22,New South Wales,Doubling time,0.0,0
26,2020-01-22,Northern Territory,Total cases,0.0,0
27,2020-01-22,Northern Territory,Total cases per million,0.0,0
28,2020-01-22,Northern Territory,New cases,0.0,0
29,2020-01-22,Northern Territory,css_per_prsn,0.0,0
30,2020-01-22,Northern Territory,New cases per week,0.0,0
31,2020-01-22,Northern Territory,log10(Total cases),0.0,0
32,2020-01-22,Northern Territory,log10(New cases per week),0.0,0
33,2020-01-22,Northern Territory,Slope of power-law,0.0,0
34,2020-01-22,Northern Territory,Acceleration of power-law,0.0,0
35,2020-01-22,Northern Territory,Growth Rate,0.0,0
36,2020-01-22,Northern Territory,Days since first case,0.0,0
37,2020-01-22,Northern Territory,Average Growth Rate,0.0,0
38,2020-01-22,Northern Territory,Doubling time,0.0,0
39,2020-01-22,Queensland,Total cases,0.0,0
40,2020-01-22,Queensland,Total cases per million,0.0,0
41,2020-01-22,Queensland,New cases,0.0,0
42,2020-01-22,Queensland,css_per_prsn,0.0,0
43,2020-01-22,Queensland,New cases per week,0.0,0
