date,new cases NL,log(NL new cases / last week),total cases NL,log(NL Total cases),derivative NL,new cases AU,log(AU new cases / last week),total cases AU,log(AU Total cases),derivative AU,new cases DE,log(DE new cases / last week),total cases DE,log(DE Total cases),derivative DE,new cases CN,log(new cases/week CN),Total cases CN,log(total cases CN),derivative CN,new cases IT,log(new cases/week IT),total cases IT,log(total cases IT),derivative IT,new cases ES,log(new cases / week ES),total cases ES,log(total cases ES),derivative ES,new cases US,log(new cases / week US),total cases US,log(total cases US),derivative US,log(new cases / 100k / week NL),log(new cases / 100k / week AU),log(new cases / 100k / week DE),log(new cases / 100k / week CN),log(new cases / 100k / week ES),log(new cases / 100k / week IT),log(new cases / 100k / week US),log(new cases / week by pop NL),log(new cases / week by pop AU),log(new cases / week by pop DE),log(new cases / week by pop CN),log(new cases / week by pop IT),log(new cases / week by pop  ES),log(new cases / week by pop US),new_cases_2dt,total_cases_dt2,new_cases_3dt,total_cases_dt3,new_cases_4dt,total_cases_dt4,log_new_cases_2dt,log_total_cases_dt2,log_new_cases_3dt,log_total_cases_dt3,log_new_cases_4dt,log_total_cases_dt4,number of says since day 0,,,,au_pop,24000000,num 100k in au,240
30/3/20,884,3.82,11750,4.04,1.49,262,3.46,4247,3.6,1.35,4751,4.53,57298,4.72,2.02,0,2.59,81439,4.91,1.87,,,,,,6396,4.7,85195,4.896520706,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/3/20,1104,3.82,10866,4.04,1.49,801,3.46,3968,3.6,1.35,3965,4.53,52547,4.72,2.02,0,2.59,81439,4.91,1.87,5217,4.59,97689,4.99,1.92,5564,4.7,78799,4.896520706,2.14,18123,5.00,141701,5.09,-0.08,1.593155707,1.081737253,1.627583461,-1.574867254,2.027141326,1.807884398,1.435661007,-3.406844293,-3.918262747,-3.372416539,-6.574867254,-3.192115602,-2.972858674,-3.564338993,157245850,536870912,136273,660561,3687,23170.48,8.2,8.729869874,5.13441137,5.81991325,3.566614902,4.364934937,58,,,,us_pop,330000000,num 100k in us,3300
28/3/20,1159,3.79,9762,3.99,1.49,362,3.36,3167,3.5,1.54,6294,4.5,48582,4.69,1.31,45,2.59,81439,4.91,1.87,5974,4.59,92472,4.97,1.93,7516,4.68,73235,4.864718686,1.44,19452,5.00,123578,5.09,1.48,1.557082395,0.980003372,1.600972896,-1.528482623,2.00677546,1.811731359,1.478811272,-3.442917605,-4.019996628,-3.399027104,-6.528482623,-3.188268641,-2.99322454,-3.521188728,111189606,379625062,108160,524288,3100,19483.97,8.05,8.579354876,5.034068038,5.719569918,3.491357403,4.289677438,57,,,,it_pop,60000000,num 100k in it,600
27/3/20,1172,3.75,8603,3.93,1.54,374,3.32,2805,3.45,1.45,5780,4.45,42288,4.63,1.47,54,2.59,81394,4.91,1.85,5909,4.6,86498,4.94,2.11,7933,4.64,65719,4.817690946,1.49,18691,4.93,104126,5.02,1.26,1.518436519,0.941594242,1.549171917,-1.527356048,1.972813176,1.818192891,1.409671884,-3.481563481,-4.058405758,-3.450828083,-6.527356048,-3.181807109,-3.027186824,-3.590328116,78622925,268435456,85847,416128,2607,16384,7.9,8.428839879,4.933724706,5.619226586,3.416099904,4.214419939,56,,,,es_pop,47000000,num 100k in es,470
26/3/20,1019,3.7,7431,3.87,1.52,285,3.27,2431,3.39,1.49,4954,4.41,36508,4.56,1.6,55,2.57,81340,4.91,1.75,6203,4.6,80589,4.91,1.96,8271,4.6,57786,4.761822633,1.42,17224,4.86,85435,4.93,1.32,1.465994842,0.890234666,1.503603447,-1.54223452,1.926791092,1.819028179,1.336738621,-3.534005158,-4.109765334,-3.496396553,-6.54223452,-3.180971821,-3.073208908,-3.663261379,55594803,189812531,68137,330281,2192,13777.25,7.75,8.278324881,4.833381375,5.518883254,3.340842405,4.13916244,55,,,,de_pop,80000000,num 100k in de,800
25/3/20,852,3.64,6412,3.81,1.48,430,3.23,2146,3.33,1.27,4118,4.37,31554,4.5,1.68,67,2.55,81285,4.91,1.58,5210,4.59,74386,4.87,2.02,7457,4.54,49515,4.694736783,1.44,13355,4.77,68211,4.83,1.34,1.409137165,0.848445716,1.46530848,-1.561275136,1.868806957,1.809245383,1.252441112,-3.590862835,-4.151554284,-3.53469152,-6.561275136,-3.190754617,-3.131193043,-3.747558888,39311462,134217728,54080,262144,1843,11585.24,7.59,8.127809883,4.733038043,5.418539922,3.265584906,4.063904941,54,,,,nl_pop,17000000,num 100k in nl,170
24/3/20,811,3.59,5560,3.75,1.43,364,3.13,1716,3.23,1.21,4764,4.31,27436,4.44,1.22,47,2.51,81218,4.91,1.72,5249,4.58,69176,4.84,1.8,6922,4.48,42058,4.623848617,1.43,11075,4.69,54856,4.74,1.26,1.355575461,0.746893557,1.403977964,-1.603398342,1.808369021,1.797832841,1.16733524,-3.644424539,-4.253106443,-3.596022036,-6.603398342,-3.202167159,-3.191630979,-3.83266476,27797402,94906266,42923,208064,1550,9741.98,7.44,7.977294885,4.632694711,5.31819659,3.190327407,3.988647443,53,,,,cn_pop,1300000000,num 100k in cn,13000
23/3/20,545,3.52,4749,3.68,1.54,281,3.02,1352,3.13,1.28,4062,4.22,22672,4.36,1.28,78,2.44,81171,4.91,1.01,4789,4.56,63927,4.81,1.74,6368,4.4,35136,4.545752318,1.3,10189,4.59,43781,4.64,1.17,1.292777121,0.642629369,1.31858501,-1.669898556,1.729199267,1.77749932,1.074605911,-3.707222879,-4.357370631,-3.68141499,-6.669898556,-3.22250068,-3.270800733,-3.925394089,19655731,67108864,34068,165140,1303,8192,7.29,7.826779887,4.532351379,5.217853258,3.115069908,3.913389944,52,,,,,,,
22/3/20,573,3.49,4204,3.62,1.49,196,2.92,1071,3.03,1.26,1948,4.14,18610,4.27,1.6,39,2.3,81093,4.91,1.03,5560,4.54,59138,4.77,1.58,3272,4.32,28768,4.45890967,1.6,9400,4.48,33592,4.53,1.1,1.256547967,0.535188594,1.235907027,-1.810747295,1.645547685,1.758280925,0.958303202,-3.743452033,-4.464811406,-3.764092973,-6.810747295,-3.241719075,-3.354452315,-4.041696798,13898701,47453133,27040,131072,1096,6888.62,7.14,7.676264889,4.432008047,5.117509926,3.03981241,3.838132445,51,,,,,,,
21/3/20,637,3.43,3631,3.56,1.28,168,2.83,875,2.94,1.3,2705,4.11,16662,4.22,1.39,46,2.21,81054,4.91,1.02,6557,4.51,53578,4.73,1.55,3925,4.28,25496,4.40647205,1.41,4825,4.33,24192,4.38,1.17,1.196387532,0.450377427,1.206387314,-1.901755748,1.609049184,1.73266176,0.812346075,-3.803612468,-4.549622573,-3.793612686,-6.901755748,-3.26733824,-3.390950816,-4.187653925,9827866,33554432,21462,104032,922,5792.62,6.99,7.525749892,4.331664715,5.017166594,2.964554911,3.762874946,50,,,,,,,
